id,question_code,subject_id,chapter_id,question_type,content,explanation,difficulty,marks,negative_marks,correct_option,option_layout,year,source,raw_text
e7ce639b-3d79-42a6-9258-72f8bb6b2a8a,PHY-MIP-0001,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following physical quantities is a scalar quantity?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,Which of the following physical quantities is a scalar quantity?
d682fca0-befa-4dec-96b6-2436fe091e06,PHY-MIP-0002,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>Which of the following physical quantities is a vector quantity?</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,Which of the following physical quantities is a vector quantity?
fe06dd9a-d747-40b3-9e5b-4d357c6897b3,PHY-MIP-0003,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>A unit vector is a vector whose magnitude is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,A unit vector is a vector whose magnitude is
55819564-339a-4232-ac49-7003e24ed0ca,PHY-MIP-0004,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>The unit vector in the direction of vector \\(\\vec{A}\\) is given by</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,The unit vector in the direction of vector \(\vec{A}\) is given by
b4607112-0e89-4392-81f9-0123353d6a5d,PHY-MIP-0005,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>The magnitude of the resultant \\(R\\) of two vectors \\(\\vec{A}\\) and \\(\\vec{B}\\) inclined at an angle \\(\\theta\\) is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,The magnitude of the resultant \(R\) of two vectors \(\vec{A}\) and \(\vec{B}\) inclined at an angle \(\theta\) is
ca02c972-fbaf-4a23-ab04-75f1978f00e9,PHY-MIP-0006,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>The angle \\(\\alpha\\) made by the resultant \\(\\vec{R}\\) with vector \\(\\vec{A}\\) is given by</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,The angle \(\alpha\) made by the resultant \(\vec{R}\) with vector \(\vec{A}\) is given by
063f8b81-7876-4a80-b9a6-b7b13b6ee4e2,PHY-MIP-0007,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>Two vectors of equal magnitude \\(F\\) have a resultant of magnitude \\(F\\). The angle between the two vectors is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,Two vectors of equal magnitude \(F\) have a resultant of magnitude \(F\). The angle between the two vectors is
617bbd87-0e6c-4f59-8407-3cfa82ad58c9,PHY-MIP-0008,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>Match column I (Vector Operation) with column II (Mathematical Formula).</p>""}, {""type"": ""image"", ""src"": ""https://bsbbyuaqibehvcbwugif.supabase.co/storage/v1/object/public/question-assets/physics/phy_plane_table_1.png"", ""alt"": ""Motion in a Plane Figure/Table for PHY-MIP-0008""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,Match column I (Vector Operation) with column II (Mathematical Formula).
64382c18-7e83-437d-af75-4a052ef987f8,PHY-MIP-0009,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>The maximum resultant of two vectors of magnitudes 12 N and 5 N is 17 N and minimum resultant is 7 N. If they act at \\(90^\\circ\\), the resultant magnitude is</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Medium,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,"The maximum resultant of two vectors of magnitudes 12 N and 5 N is 17 N and minimum resultant is 7 N. If they act at \(90^\circ\), the resultant magnitude is"
4576902c-1f9c-4a31-abe7-7f2cd7c657be,PHY-MIP-0010,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,b0eebc99-9c0b-4ef8-bb6d-6bb9bd380b18,MCQ,"[{""type"": ""text"", ""html"": ""<p>The scalar product (dot product) of two vectors \\(\\vec{A}\\) and \\(\\vec{B}\\) is defined as</p>""}]","[{""type"": ""text"", ""html"": ""<p>Refer to NCERT Class 11 Physics: Chapter 4 - Motion in a Plane.</p>""}]",Easy,4.0,1.0,a,grid_2x2,2024,NCERT Physics NEET Chapter 4 - Motion in a Plane,The scalar product (dot product) of two vectors \(\vec{A}\) and \(\vec{B}\) is defined as
